country,start_date,end_date,days,year,week,population,total_deaths,covid_deaths
France,12/30/2019,1/5/2020,7,2020,1,67813000,12737,0
France,1/6/2020,1/12/2020,7,2020,2,67813000,13200,0
France,1/13/2020,1/19/2020,7,2020,3,67813000,12598,0
France,1/20/2020,1/26/2020,7,2020,4,67813000,12331,0
France,1/27/2020,2/2/2020,7,2020,5,67813000,12541,0
France,2/3/2020,2/9/2020,7,2020,6,67813000,12407,0
France,2/10/2020,2/16/2020,7,2020,7,67813000,12261,1
France,2/17/2020,2/23/2020,7,2020,8,67813000,11835,0
France,2/24/2020,3/1/2020,7,2020,9,67813000,12042,1
France,3/2/2020,3/8/2020,7,2020,10,67813000,12139,17
France,3/9/2020,3/15/2020,7,2020,11,67813000,12554,72
France,3/16/2020,3/22/2020,7,2020,12,67813000,13939,585
France,3/23/2020,3/29/2020,7,2020,13,67813000,16188,1932
France,3/30/2020,4/5/2020,7,2020,14,67813000,18805,5473
France,4/6/2020,4/12/2020,7,2020,15,67813000,17563,6315
France,4/13/2020,4/19/2020,7,2020,16,67813000,15396,5298
France,4/20/2020,4/26/2020,7,2020,17,67813000,12821,3136
France,4/27/2020,5/3/2020,7,2020,18,67813000,11260,2068
France,5/4/2020,5/10/2020,7,2020,19,67813000,11030,1485
France,5/11/2020,5/17/2020,7,2020,20,67813000,10755,1730
France,5/18/2020,5/24/2020,7,2020,21,67813000,11116,556
France,5/25/2020,5/31/2020,7,2020,22,67813000,10434,433
France,6/1/2020,6/7/2020,7,2020,23,67813000,10392,353
France,6/8/2020,6/14/2020,7,2020,24,67813000,10360,253
France,6/15/2020,6/21/2020,7,2020,25,67813000,10427,233
France,6/22/2020,6/28/2020,7,2020,26,67813000,11111,137
France,6/29/2020,7/5/2020,7,2020,27,67813000,10020,115
France,7/6/2020,7/12/2020,7,2020,28,67813000,10316,117
France,7/13/2020,7/19/2020,7,2020,29,67813000,10129,146
France,7/20/2020,7/26/2020,7,2020,30,67813000,10542,51
France,7/27/2020,8/2/2020,7,2020,31,67813000,10866,72
France,8/3/2020,8/9/2020,7,2020,32,67813000,10748,61
France,8/10/2020,8/16/2020,7,2020,33,67813000,11767,86
France,8/17/2020,8/23/2020,7,2020,34,67813000,10490,103
France,8/24/2020,8/30/2020,7,2020,35,67813000,10503,97
France,8/31/2020,9/6/2020,7,2020,36,67813000,10623,117
France,9/7/2020,9/13/2020,7,2020,37,67813000,11199,215
France,9/14/2020,9/20/2020,7,2020,38,67813000,11781,369
France,9/21/2020,9/27/2020,7,2020,39,67813000,10868,439
France,9/28/2020,10/4/2020,7,2020,40,67813000,11856,485
France,10/5/2020,10/11/2020,7,2020,41,67813000,11841,500
France,10/12/2020,10/18/2020,7,2020,42,67813000,12167,749
France,10/19/2020,10/25/2020,7,2020,43,67813000,13689,1181
France,10/26/2020,11/1/2020,7,2020,44,67813000,14613,2400
France,11/2/2020,11/8/2020,7,2020,45,67813000,15609,3457
France,11/9/2020,11/15/2020,7,2020,46,67813000,15467,4109
France,11/16/2020,11/22/2020,7,2020,47,67813000,14993,4182
France,11/23/2020,11/29/2020,7,2020,48,67813000,14697,3595
France,11/30/2020,12/6/2020,7,2020,49,67813000,14533,2830
France,12/7/2020,12/13/2020,7,2020,50,67813000,14504,2756
France,12/14/2020,12/20/2020,7,2020,51,67813000,14106,2638
France,12/21/2020,12/27/2020,7,2020,52,67813000,13801,2197
France,12/28/2020,1/3/2021,7,2020,53,67813000,14365,2291
France,1/4/2021,1/10/2021,7,2021,1,67813000,14678,2713
France,1/11/2021,1/17/2021,7,2021,2,67813000,14638,2533
France,1/18/2021,1/24/2021,7,2021,3,67813000,15151,2766
France,1/25/2021,1/31/2021,7,2021,4,67813000,14786,3008
France,2/1/2021,2/7/2021,7,2021,5,67813000,14437,2908
France,2/8/2021,2/14/2021,7,2021,6,67813000,14162,2849
France,2/15/2021,2/21/2021,7,2021,7,67813000,14133,2466
France,2/22/2021,2/28/2021,7,2021,8,67813000,13323,2148
France,3/1/2021,3/7/2021,7,2021,9,67813000,12966,2146
France,3/8/2021,3/14/2021,7,2021,10,67813000,12801,1856
France,3/15/2021,3/21/2021,7,2021,11,67813000,12967,1849
France,3/22/2021,3/28/2021,7,2021,12,67813000,12782,2318
France,3/29/2021,4/4/2021,7,2021,13,67813000,13241,2055
France,4/5/2021,4/11/2021,7,2021,14,67813000,13002,2100
France,4/12/2021,4/18/2021,7,2021,15,67813000,13087,1983
France,4/19/2021,4/25/2021,7,2021,16,67813000,13223,2125
France,4/26/2021,5/2/2021,7,2021,17,67813000,12749,1962
France,5/3/2021,5/9/2021,7,2021,18,67813000,12505,1573
France,5/10/2021,5/16/2021,7,2021,19,67813000,11506,1224
France,5/17/2021,5/23/2021,7,2021,20,67813000,11245,981
France,5/24/2021,5/30/2021,7,2021,21,67813000,11057,806
France,5/31/2021,6/6/2021,7,2021,22,67813000,10820,603
France,6/7/2021,6/13/2021,7,2021,23,67813000,10679,396
France,6/14/2021,6/20/2021,7,2021,24,67813000,10860,348
France,6/21/2021,6/27/2021,7,2021,25,67813000,9863,231
France,6/28/2021,7/4/2021,7,2021,26,67813000,10136,195
France,7/5/2021,7/11/2021,7,2021,27,67813000,10495,165
France,7/12/2021,7/18/2021,7,2021,28,67813000,10332,147
France,7/19/2021,7/25/2021,7,2021,29,67813000,11502,151
France,7/26/2021,8/1/2021,7,2021,30,67813000,10676,269
France,8/2/2021,8/8/2021,7,2021,31,67813000,10546,340
France,8/9/2021,8/15/2021,7,2021,32,67813000,11584,467
France,8/16/2021,8/22/2021,7,2021,33,67813000,11223,781
France,8/23/2021,8/29/2021,7,2021,34,67813000,10927,724
France,8/30/2021,9/5/2021,7,2021,35,67813000,11473,679
France,9/6/2021,9/12/2021,7,2021,36,67813000,11734,651
France,9/13/2021,9/19/2021,7,2021,37,67813000,10951,509
France,9/20/2021,9/26/2021,7,2021,38,67813000,10915,407
France,9/27/2021,10/3/2021,7,2021,39,67813000,11314,334
France,10/4/2021,10/10/2021,7,2021,40,67813000,11409,279
France,10/11/2021,10/17/2021,7,2021,41,67813000,12071,208
France,10/18/2021,10/24/2021,7,2021,42,67813000,11983,204
France,10/25/2021,10/31/2021,7,2021,43,67813000,12255,211
France,11/1/2021,11/7/2021,7,2021,44,67813000,11683,238
France,11/8/2021,11/14/2021,7,2021,45,67813000,12135,232
France,11/15/2021,11/21/2021,7,2021,46,67813000,12261,318
France,11/22/2021,11/28/2021,7,2021,47,67813000,12856,447
France,11/29/2021,12/5/2021,7,2021,48,67813000,13512,642
France,12/6/2021,12/12/2021,7,2021,49,67813000,13984,899
France,12/13/2021,12/19/2021,7,2021,50,67813000,13906,1062
France,12/20/2021,12/26/2021,7,2021,51,67813000,14600,1149
France,12/27/2021,1/2/2022,7,2021,52,67813000,14737,1302
France,1/3/2022,1/9/2022,7,2022,1,67813000,14569,1497
France,1/10/2022,1/16/2022,7,2022,2,67813000,14546,1513
France,1/17/2022,1/23/2022,7,2022,3,67813000,14464,1679
France,1/24/2022,1/30/2022,7,2022,4,67813000,15081,1955
France,1/31/2022,2/6/2022,7,2022,5,67813000,15112,1923
France,2/7/2022,2/13/2022,7,2022,6,67813000,14306,2300
France,2/14/2022,2/20/2022,7,2022,7,67813000,13715,1791
France,2/21/2022,2/27/2022,7,2022,8,67813000,12747,1540
France,2/28/2022,3/6/2022,7,2022,9,67813000,12791,1140
France,3/7/2022,3/13/2022,7,2022,10,67813000,12575,832
France,3/14/2022,3/20/2022,7,2022,11,67813000,12386,826
France,3/21/2022,3/27/2022,7,2022,12,67813000,12426,739
France,3/28/2022,4/3/2022,7,2022,13,67813000,12846,834
France,4/4/2022,4/10/2022,7,2022,14,67813000,13090,782
France,4/11/2022,4/17/2022,7,2022,15,67813000,13227,869
France,4/18/2022,4/24/2022,7,2022,16,67813000,12717,903
France,4/25/2022,5/1/2022,7,2022,17,67813000,12120,902
France,5/2/2022,5/8/2022,7,2022,18,67813000,12053,762
France,5/9/2022,5/15/2022,7,2022,19,67813000,11532,551
France,5/16/2022,5/22/2022,7,2022,20,67813000,11296,510
France,5/23/2022,5/29/2022,7,2022,21,67813000,10385,345
France,5/30/2022,6/5/2022,7,2022,22,67813000,11059,340
France,6/6/2022,6/12/2022,7,2022,23,67813000,10583,279
France,6/13/2022,6/19/2022,7,2022,24,67813000,11361,290
France,6/20/2022,6/26/2022,7,2022,25,67813000,10999,278
France,6/27/2022,7/3/2022,7,2022,26,67813000,10477,268
France,7/4/2022,7/10/2022,7,2022,27,67813000,11483,432
France,7/11/2022,7/17/2022,7,2022,28,67813000,12515,397
France,7/18/2022,7/24/2022,7,2022,29,67813000,13059,936
France,7/25/2022,7/31/2022,7,2022,30,67813000,11671,633
France,8/1/2022,8/7/2022,7,2022,31,67813000,11918,554
France,8/8/2022,8/14/2022,7,2022,32,67813000,12086,527
France,8/15/2022,8/21/2022,7,2022,33,67813000,11334,437
France,8/22/2022,8/28/2022,7,2022,34,67813000,11152,356
France,8/29/2022,9/4/2022,7,2022,35,67813000,11091,332
France,9/5/2022,9/11/2022,7,2022,36,67813000,10831,279
France,9/12/2022,9/18/2022,7,2022,37,67813000,10886,204
France,9/19/2022,9/25/2022,7,2022,38,67813000,11532,215
France,9/26/2022,10/2/2022,7,2022,39,67813000,12079,225
France,10/3/2022,10/9/2022,7,2022,40,67813000,12438,310
France,10/10/2022,10/16/2022,7,2022,41,67813000,12416,394
France,10/17/2022,10/23/2022,7,2022,42,67813000,12574,521
France,10/24/2022,10/30/2022,7,2022,43,67813000,12083,495
France,10/31/2022,11/6/2022,7,2022,44,67813000,11701,445
France,11/7/2022,11/13/2022,7,2022,45,67813000,12123,394
France,11/14/2022,11/20/2022,7,2022,46,67813000,12820,492
France,11/21/2022,11/27/2022,7,2022,47,67813000,13036,476
France,11/28/2022,12/4/2022,7,2022,48,67813000,13301,454
France,12/5/2022,12/11/2022,7,2022,49,67813000,14685,518
France,12/12/2022,12/18/2022,7,2022,50,67813000,15685,748
France,12/19/2022,12/25/2022,7,2022,51,67813000,16893,793
France,12/26/2022,1/1/2023,7,2022,52,67813000,16502,810
France,1/2/2023,1/8/2023,7,2023,1,67813000,15476,688
France,1/9/2023,1/15/2023,7,2023,2,67813000,14135,697
France,1/16/2023,1/22/2023,7,2023,3,67813000,13522,405
France,1/23/2023,1/29/2023,7,2023,4,67813000,13293,350
France,1/30/2023,2/5/2023,7,2023,5,67813000,13000,286
France,2/6/2023,2/12/2023,7,2023,6,67813000,12907,171
France,2/13/2023,2/19/2023,7,2023,7,67813000,12687,175
France,2/20/2023,2/26/2023,7,2023,8,67813000,12512,165
France,2/27/2023,3/5/2023,7,2023,9,67813000,12482,153
France,3/6/2023,3/12/2023,7,2023,10,67813000,12693,105
France,3/13/2023,3/19/2023,7,2023,11,67813000,12312,0
France,3/20/2023,3/26/2023,7,2023,12,67813000,11707,0
France,3/27/2023,4/2/2023,7,2023,13,67813000,11609,0
France,4/3/2023,4/9/2023,7,2023,14,67813000,11633,0
France,4/10/2023,4/16/2023,7,2023,15,67813000,11725,0
France,4/17/2023,4/23/2023,7,2023,16,67813000,11903,0
France,4/24/2023,4/30/2023,7,2023,17,67813000,11809,0
France,5/1/2023,5/7/2023,7,2023,18,67813000,11438,0
France,5/8/2023,5/14/2023,7,2023,19,67813000,10959,0
France,5/15/2023,5/21/2023,7,2023,20,67813000,11036,0
France,5/22/2023,5/28/2023,7,2023,21,67813000,11443,0
France,5/29/2023,6/4/2023,7,2023,22,67813000,11225,0
France,6/5/2023,6/11/2023,7,2023,23,67813000,11298,0
France,6/12/2023,6/18/2023,7,2023,24,67813000,10909,0
France,6/19/2023,6/25/2023,7,2023,25,67813000,10729,0
France,6/26/2023,7/2/2023,7,2023,26,67813000,10170,0
France,7/3/2023,7/9/2023,7,2023,27,67813000,10603,0
France,7/10/2023,7/16/2023,7,2023,28,67813000,10657,0
France,7/17/2023,7/23/2023,7,2023,29,67813000,10439,0
France,7/24/2023,7/30/2023,7,2023,30,67813000,10542,0
France,7/31/2023,8/6/2023,7,2023,31,67813000,10172,0
France,8/7/2023,8/13/2023,7,2023,32,67813000,11038,0
France,8/14/2023,8/20/2023,7,2023,33,67813000,11125,0
France,8/21/2023,8/27/2023,7,2023,34,67813000,11496,0
France,8/28/2023,9/3/2023,7,2023,35,67813000,11009,0
France,9/4/2023,9/10/2023,7,2023,36,67813000,11450,0
France,9/11/2023,9/17/2023,7,2023,37,67813000,11002,0
France,9/18/2023,9/24/2023,7,2023,38,67813000,10687,0
France,9/25/2023,10/1/2023,7,2023,39,67813000,11210,0
France,10/2/2023,10/8/2023,7,2023,40,67813000,11360,0
France,10/9/2023,10/15/2023,7,2023,41,67813000,11614,0
France,10/16/2023,10/22/2023,7,2023,42,67813000,11932,0
France,10/23/2023,10/29/2023,7,2023,43,67813000,12462,0
France,10/30/2023,11/5/2023,7,2023,44,67813000,12292,0
France,11/6/2023,11/12/2023,7,2023,45,67813000,12281,0
France,11/13/2023,11/19/2023,7,2023,46,67813000,12235,0
France,11/20/2023,11/26/2023,7,2023,47,67813000,12309,0
France,11/27/2023,12/3/2023,7,2023,48,67813000,12905,0
France,12/4/2023,12/10/2023,7,2023,49,67813000,13552,0
France,12/11/2023,12/17/2023,7,2023,50,67813000,13168,0
France,12/18/2023,12/24/2023,7,2023,51,67813000,12522,0
